,name,link,revenue,num_employee
0,"Aluminum Distributing, Inc. d/b/a ADI Metal",http://www.adimetal.com/index.html,$5 - 9.9 Mil,10-49
1,"Conquest Industries, Inc.",http://www.conquestind.com/,$10 - 24.9 Mil,10-49
2,A-1 Alloys,http://www.a1alloys.net/,$10 - 24.9 Mil,10-49
3,"Alufoil Products Co., Inc.",http://www.alufoil.com/index.html,$1 - 4.9 Mil,10-49
4,"Eagle Stainless Tube & Fabrication, Inc.",https://eagletube.com/,$1 - 4.9 Mil,50-99
5,"SlipNOT Metal Safety Flooring, Div. of W.S. Molnar C",https://www.slipnot.com/,$10 - 24.9 Mil,10-49
6,Metalmark,http://www.metalmarkcorp.com,$10 - 24.9 Mil,1-9
7,"Aerospace Alloys, Inc.",http://www.aalloys.com/index.html,$5 - 9.9 Mil,10-49
8,"Milward Alloys, Inc.",http://www.milward.com/index.htm,$10 - 24.9 Mil,50-99
9,"All Metals Industries, Inc.",https://www.allmetalsindustries.com/,Not Available,Not Available
